,stars,review_body,review_title,language,product_category,opinion
4989,3,Pas mal Mais le système d’adhésif a carrément arraché ma peinture du mur ( neuf je précise ) Donc je ne sais pas si c’edt De bonne qualité .. Sinon produit conforme et joli design,Mitigée,fr,furniture,mixed
7272,4,A little expensive but the wipes are bigger and stronger than other all natural feminine wipes I have found here on Amazon. Will purchase again.,Like the size,en,drugstore,satisfied
7329,3,The look was great but only one ear bud would work so I was very disappointed but the return process was quick and easy I will probably give them another try in the near future!,Not what I expected!,en,wireless,satisfied
1996,4,Mon fils est ravi Livraison rapide je recommande,Rien à dire,fr,home,satisfied
10883,2,Purchased December 2017. It's July 2018 and the covering along the top has deteriorated. Almost worthless now.,Two Stars,en,lawn_and_garden,mixed
5208,3,Coque très jolie Elle protege bien la tablette Dommage que le chargeur ne rentre pas...il faut enlever un peu la tablette....,Problème chargeur,fr,pc,mixed
1075,5,voir ce matelas prendre son épaisseur à vue d'oeil et la sieste a été extra,le comfort,fr,furniture,satisfied
3546,2,L'usage pourrait être amélioré quant au logement des piles.,Moyen,fr,electronics,non satisfied
2192,2,Chute de 30 Cm verre déjà fissuré. La poussière rentre facilement. Peu d'intérêt,Inutile,fr,wireless,non satisfied
6209,5,They fit and haven't fallen off but the do turn the others dont,Cap covers,en,automotive,satisfied
6650,4,good enough tool. sometime it doesn't cut the lines.,good enough tool. sometime it doesn't cut the lines.,en,other,satisfied
2849,2,lutte contre les pigeons,"impossible de savoir a quoi servent toutes les pieces, il manque une notice simple",fr,lawn_and_garden,non satisfied
4887,3,"Téléphone très basique (normal étant donné le prix). Fonctionne parfaitement pour les options de bases : SMS et appels. Évidemment à ce prix là, aucune possibilité de personnalisation (sonnerie, fond d'écran, etc...). Par contre, il arrive parfois (un peu trop souvent) que le téléphone ""freeze"" et affiche un écran bleu qui empêche de l'utiliser pendant 30 secondes à une minute (c'est ce qui lui vaut de perdre 2 étoiles).",Bien pour le prix,fr,wireless,mixed
8278,1,"Arrived missing microphone. It looked like someone removed the microphone. Original package had been opened prior to shipment - no seals and damaged internal packaging. Retail package severely beat up. This looked like it may have been a used return that was just repackaged and sold as new. Cannot comment on the product quality other than for the price this is a very extensive toy. I returned the product because it was not what I expected and I would never give a gift in this condition, even to a child.",Looked like I got a used return....,en,toy,non satisfied
787,4,Un cran au dessous de ceux de Angelina J. !,Se laisse voir mais sans convaincre...,fr,other,satisfied
8148,1,"Received an empty envelope, nothing inside, therefore I cannot return the item for a refund or exchange, can you please help.",Please send again,en,sports,non satisfied
11043,2,This is a very cheap product and would not recommend for little kids. The hub caps fall off (choking hazard) and the whole wheel axle comes off which leaves a wheel attached to a sharp point somewhere around your house.,Cheap and kind of dangerous.,en,toy,mixed
6988,5,Great movie... was very good.,Five Stars,en,digital_video_download,satisfied
5374,3,Drôle sans plus (une fois ou deux),Bon produit,fr,toy,mixed
8090,1,The directions were not written by someone that knows English. the part was not correct. Did not get what I asked for. This destroyed my phone and cost me $900.00 to replace it.,Worst purchase ever.,en,wireless,non satisfied
7681,4,Did not fit my h&r handi rifle. Might use it on my rem 700.,Too big for h&r handi rifle,en,sports,satisfied
4496,3,Produit de qualité cependant impossible de placer un verre de protection sans que celui ci soit décollé au moment d'installer la coque d'où les étoiles en moins...,Produit à placer seul,fr,wireless,mixed
1034,4,J'ai pris ce produit pour remplacer une lampe extérieur. La qualité semble moyenne . Il faut percer les trous de fixation dans le plastique. On verra pour la fiabilité aux intempéries.,Un peu dubitatif,fr,home,satisfied
2866,1,Toujours pas reçu ma commande !!!,Trop déçue de n’av Rien reçu !,fr,personal_care_appliances,non satisfied
1716,5,Utilisation quotidienne,Très bon Produit.,fr,drugstore,satisfied
2604,2,"L'éclairage est bon mais le culot est plus gros que l'anormal. En tous les cas plus gros que mon globe, j'ai donc dû retourner le produit…...",bon éclairage mais......,fr,home,non satisfied
7481,4,I wasn't crazy about the rusty look to the chime but my daughter in law loved it just the same,It's ok,en,lawn_and_garden,satisfied
9468,1,This is not the real product! It smelled like baby powder when I opened it and then made my face break out all over after using it twice. The real product feels slightly wet when applying it and those did not at all,This is an imitation,en,beauty,non satisfied
8177,1,Extremely trite and very boring. Not only was it underwhelming but bought into so many cliche moments that it became difficult to watch in the end. Pass,Extremely trite and very boring. Not only was it underwhelming but bought into ...,en,digital_video_download,non satisfied
4981,3,"c'est plus en mode chemise que robe, j'ai du rajouter 5 cm de tissus rose pour avoir une robe ;)",article trop court,fr,toy,mixed
11763,2,"I received these earbuds on August 18th, 2019. On October 9th the left bud stopped working. Sad too, because I like these. They feel sturdy, sound quality is great and the battery will last almost all day with near continuous use. But without warning the left side just stopped working.",Left ear bud stopped working,en,electronics,mixed
5395,3,dans une tour il manque toujours un câble et celui ci à repondu présent quand j en ai eu besoin,utile,fr,electronics,mixed
4785,3,les 3 premiers éléments sont bien arrivés mais il manque le 4ème (le 5ème est prévu pour lundi),ce qui a été reçu :,fr,sports,mixed
1881,5,"Très grand, très beau ! Tiens bien malgré un mur pas très lisse. Rendu super dans une chambre pour bébé ! vraiment satisfaite de mon achat.",Rendu au top !,fr,home,satisfied
9261,1,They were a pain to get on & it kept pulling my seatbelt up off my lap up to my chest where it was connected.,These are not the answer,en,automotive,non satisfied
2620,2,"Emballage sommaire, produit qui fonctionne mais très très léger. A voir sur la durée...",Faible qualité,fr,toy,non satisfied
10587,2,Battery does not last as long as it should,My old phone with a smaller battery lasted longer,en,wireless,mixed
11407,2,Product looks great and easy to install but does not last longer than 2 weeks with high end new batteries. Either we got a faulty unit or they all are like that,Product looks great and easy to install but does not last longer ...,en,home,mixed
10006,2,"Was not the color I ordered, and extremely thin material..",Color and material,en,home,mixed
1998,4,Très bel article correspond à mes attentes (un deuxième est en commande) Rien à dire c'est parfait je le recommande !,Satisfaction et bonne qualté,fr,home,satisfied
375,4,"Elles sont arrivées dans les temps ! Elles sont plutôt jolies mais je les pensais plus grandes ! La boule fait à peine 20 cm, ça va faire un peu light pour une décoration de salle !",Plus petites qu'attendues !,fr,luggage,satisfied
9894,1,You sent me the Virginia candle instead of the Minnesota candle like I ordered. Order was also three days late.,Don’t buy from this company!,en,home,non satisfied
4885,3,"Bonjour, Comment sait-on quand l'appareil est chargé suffisamment, vu qu'il n'y a pas de voyant lumineux qui indique la charge ? Je le mets en charge et au bout de 4h de charge, si je le débranche, il ne fonctionne pas. Quel est le temps nécessaire pour charge cet humidificateur ? Merci d'avance pour votre réponse.",chargement du produit ???,fr,kitchen,mixed
10005,2,"Purchased this, first one I installed had imperfections on the screen protector. Second one had the same marks but less noticeable. This also does not line up with the edge perfectly, won’t be buying this style ever again.",Not a perfect fit,en,wireless,mixed
8790,1,This green one did NOT feel anything like my 20 other Beauty Blenders. It is very porous and rough. I don't believe this is an authentic brand - beware!!,Not like a real Beauty Blender!!,en,beauty,non satisfied
1161,5,Toujours trop cher pour ces appareils mais fonctionne parfaitement bien.,Très bien,fr,other,satisfied
8505,1,"First of all, doesn't particularly work all that well. But the main reason for my review is to warn you - my cat disposed of a hairball this morning, not long after having some food with this stuff added to it. Now my carpet has a lovely yellow stain that I can't get out. This stuff also stained the plastic food dishes I use to feed the cats. Seriously can't think of one reason to recommend this product.",Stains the carpet,en,pet_products,non satisfied
10593,2,It gets too hot and the auto off timer does not work. Seems to be a fire hazard.,The shutoff timer does not work.,en,drugstore,mixed
1977,4,"Je n'ai pas eu encore l'occasion de m'en servir, heureusement. Mais le format est pratique. Pour aller courir, c'est l'idéal",Pratique en cas de défense,fr,sports,satisfied
2523,2,"Enregistreur ne marche avec aucun disque dur installé, il ne le reconnais pas. Très déçu car j'avais déjà procédé à l'intégralité de l'installation je vais être obligé de tout démonter pour renvoyer juste parce que l'enregistreur ne marche pas.",Fonctionne pas !,fr,home_improvement,non satisfied
8950,1,"Much more fragile than I anticipated. Had obviously been leaking for some time - I smelled the solution as soon as I opened the package (It smelled like VapoRub). And it wasn't shipping damage; it was a manufacturing flaw. There was a pinhole leak in the sealed end of the tube that, when I followed the included instructions to warm the tube to clear it, began streaming the toxic solution everywhere. VERY disappointed.",Arrived damaged and leaking,en,home,non satisfied
2719,1,Vitre trop épaisse du coup cela altère la sensibilité du tactile. Je l ai retiré de suite. Je suis déçue de l article pas du tout agreable,Vitre trop epaisse,fr,wireless,non satisfied
6402,4,"The refills fit my eyelash curler perfectly, but they're too soft, so my lashes won't stay curled. I think for anyone else, they would work fine. I just have stubborn eyelashes.",They're ok,en,beauty,satisfied
5371,3,Pour mon appartement,Je le regrette pas,fr,kitchen,mixed
11141,2,"The smell is off. The shampoo smells better than the conditioner and they smell so different. When purchased I had uncolored hair. My hair is straight, in between thick and fine. It’s now lightened/colored and I dont like this shampoo for my natural or colored hair. If you have a similar hair type I wouldn’t suggest this.",Smells Off :/,en,beauty,mixed
6984,3,The globes were as expected but one of them was broke. I received the replacement but it doesn't seem like the water is flowing out. I check on my plants throughout the week and the water is still there even the next week. Not sure why maybe they work better on smaller plants.,They are small,en,lawn_and_garden,satisfied
3971,1,Qualité très faible Ne fonctionne plus au bout d'une semaine,mediocre,fr,electronics,non satisfied
269,5,Ce jeu est vraiment super on s'amuse bien avec toute la famille. Le produit est arrivé rapidement et soigneusement. Je recommande fortement ce produit.,super produit et jeu,fr,video_games,satisfied
9142,1,I opened the package and so disappointed to see that the wood that holds the fabric pocket is bent. that makes it look so ugly. I doubt it was from the shipping cause the box was fine.,Receive a defect product,en,home,non satisfied
10629,2,Not as squishy as I had hope and the cloth started splitting from the rubber the first day I used it!,Find something else.,en,office_product,mixed
681,4,"Remplacement des coussinets d'origine un peu ardu, mais réussi en peu de temps. Confort et acoustique identiques au matériel d'origine. Solidité à voir sur la durée.",Impec,fr,wireless,satisfied
4154,3,"Trois étoiles, car le filtrage de l'eau se fait très rapidement et je ne sais si c'est aussi efficace que les Brita.",Cartouches filtrantes compatibles Brita Maxtra,fr,home,mixed
7180,3,Game for four people Only two directions cards In this game each person needs one,Fun game,en,toy,satisfied
10085,2,"The interface with computer is good, the sound quality is good, the delivery was fast and it works well for running. For front-crawl swimming- not so much. I tried different bud sizes and different ways to jam it in the goggles bend, but it still kept filling with water..","Everything is good, except for being fit for swimming.",en,sports,mixed
7031,3,"It's worth investing more for a quality neck shaver, it does work though, the clipper tool is also good but not great, all around mediocre quality, you're probably better off just hitting Walmart or investing in a better grand","Good, not great",en,beauty,satisfied
7294,3,"The finish is a weird gold toned plastic coating, not what I was looking for.",Three Stars,en,home,satisfied
9363,1,"I wanted a toy that my golden could enjoy for at least a month... She was able to rip the octopus to shreds within a day. Do not waste your money on this product. It was advertised for the super chewer, wrong!",Easily DESTROYED,en,pet_products,non satisfied
11975,2,Cheap and smaller than expected. The stakes are small and barley fit into the grass. They worked okay but wouldn’t recommend. All of them ended up breaking in some way,Cheap,en,toy,mixed
10214,2,"I really wanted to love these, as they're exactly the style I was searching for. Unfortunately, they're too small for me to wear for more than a day. The piece of metal that runs from the stud to the bend is apparently too short for my nose, and so the stud was slowly and somewhat painfully becoming embedded into my nose. I realized this after wearing mine for approximately two weeks. After feeling ongoing irritation, I removed the nose screw to find a stud-shaped, red, irritated indent.","Cute, but not for me.",en,jewelry,mixed
2440,1,"il se déforme trop vite , la mousse s’enfonce pas de bonne qualité .Pour le prix je pense qu'il y a mieux .",moyen,fr,home,non satisfied
457,5,Semble fonctionner exactement comme prévu!,Bon produit!,fr,kitchen,satisfied
4828,3,J'ai peur qu'elle ne soit pas assez solide par rapport aux vrais de chez Apple mais bon 11 euros c'est bien,BONNE COQUE,fr,pc,mixed
11976,2,"This case is ok I guess kind of slippery in the hand, looks good and slim all the button work well, but it don't work well with screen protectors it keeps lifting the edges of the screen protector up and it makes it peel off.",looks good and slim all the button work well,en,office_product,mixed
3630,1,"un peu pacotille, il faut bien les mettre à plat sinon les fanions sont tordus (mettre quelquechose de lourd dessus) qualité moyenne je m'attendais à autre chose, mais cette banderole servira à égayer une party quand même !",un peu déçue !,fr,toy,non satisfied
